# File: iso_GCAM_regID.csv
# Title: ISO to GCAM region mapping
# Units: NA
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Column types: ccci
# ----------
iso,country_name,region_GCAM3,GCAM_region_ID
tkm,Turkmenistan,Former Soviet Union,10
tls,Timor Leste,Southeast Asia,24
ton,Tonga,Southeast Asia,24
tto,Trinidad and Tobago,Latin America,9
tun,Tunisia,Africa,3
tur,Turkey,Western Europe,64
tuv,Tuvalu,Southeast Asia,24
twn,Taiwan,Southeast Asia,25
tza,"Tanzania, United Republic of",Africa,4
uga,Uganda,Africa,2
ukr,Ukraine,Former Soviet Union,66
ury,Uruguay,Latin America,21
usa,United States of America,USA,1
uzb,Uzbekistan,Former Soviet Union,10
vat,Vatican,Western Europe,42
vct,Saint Vincent and the Grenadines,Latin America,9
ven,Venezuela,Latin America,20
vgb,"Virgin Islands, British",Latin America,65
vir,"Virgin Islands, U.S.",Latin America,1
vnm,Viet Nam,China,24
vut,Vanuatu,Southeast Asia,24
wlf,Wallis and Futuna,Australia_NZ,65
wsm,Samoa,Southeast Asia,24
xkx,Kosovo,Eastern Europe,62
yem,Yemen,Middle East,16
yug,"Yugoslavia, Federal Republic of",Eastern Europe,15
zaf,South Africa,Africa,19
zmb,Zambia,Africa,4
zwe,Zimbabwe,Africa,4
